COUNTY,TRUMP_VOTES,TRUMP_PCT,BIDEN_VOTES,BIDEN_PCT,TOTAL_VOTE,TOTAL_VOTE_PCT,WHITE,BLACK,NATIVE_AMER,ASIAN,HISPANIC,AGE0_17,AGE18_24,AGE25_44,AGE45_64,AGE65_OLDER,TOTALPOP,TOTALVAXPOP,COVIDDOSES_TOTAL,COVID1DOSE,COVIDFULL,PERC1DOSE,PERCFULL,CURRPERCFULL,CURRFULLPCT,EST_FLUVAX_PCT,EST_FLUVAX_CT
Stone County,14800,0.8,3506,0.19,18306,0.59,29972,64,224,74,729,5266,1887,5591,9318,10403,31615,25810,25378,"13,388","12,298",43.08,39.57,13391,51.88,0.47,14606
Sullivan County,1974,0.8,478,0.19,2452,0.41,5639,221,105,68,1133,1353,491,1312,1641,1236,5999,4646,4410,"2,439","2,223",40.66,37.06,2617,56.33,0.391,2346
Taney County,20508,0.78,5339,0.2,25847,0.46,53113,1357,850,784,3610,11742,5171,12386,14002,12803,56066,44324,42276,"22,995","20,311",41.01,36.23,23133,52.19,0.423,23716
Texas County,9478,0.84,1716,0.15,11194,0.46,23735,968,301,108,593,5320,1846,5799,6593,5554,24487,19167,15571,"8,502","7,624",34.72,31.13,8504,44.37,0.402,9844
Vernon County,7155,0.78,1903,0.21,9058,0.46,19342,111,133,148,445,4750,1763,4483,5175,4217,20595,14957,12171,"6,683","6,103",33.91,30.97,7178,47.99,0.419,8257
Warren County,13222,0.72,4769,0.26,17991,0.51,35026,1096,223,249,1314,8576,2683,8787,9873,6675,35532,26956,27942,"14,799","13,584",41.65,38.23,15472,57.4,0.462,16416
Washington County,8047,0.81,1804,0.18,9851,0.42,23427,529,27,53,346,5536,1806,5941,6952,4369,24860,17978,15697,"8,465","7,422",36,31.56,8370,46.56,0.41,9641
Wayne County,4987,0.85,845,0.14,5832,0.53,12514,73,24,36,238,2563,762,2559,3687,3198,13195,8411,6930,"3,729","3,281",33.98,29.9,3894,46.3,0.406,4455
Webster County,14880,0.79,3573,0.19,18453,0.47,38672,582,406,199,924,10845,3056,9666,9955,6337,39085,28240,27374,"14,740","13,322",37.71,34.08,15719,55.66,0.412,16103
Worth County,877,0.79,215,0.19,1092,0.55,1914,25,9,5,40,372,138,399,526,518,1973,1601,1234,680,622,34.47,31.53,720,44.97,0.486,959
Wright County,7453,0.85,1168,0.13,8621,0.47,17855,198,169,103,446,4753,1309,3970,4587,3706,18188,13435,11811,"6,442","5,724",35.42,31.47,6535,48.64,0.416,7566
